縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
16,1120531,4,512,512
16,1120430,4,512,512
16,1120331,4,512,512
16,1120228,4,512,514
16,1120131,4,514,514
16,1111231,4,514,514
16,1111130,4,514,506
16,1111031,4,506,506
16,1110930,4,506,506
16,1110831,4,506,506
16,1110731,4,506,479
16,1110630,4,479,522
16,1110531,4,522,522
16,1110430,4,522,522
16,1110331,4,522,522
16,1110228,4,522,522
16,1110131,4,522,522
16,1101231,4,522,522
16,1101130,4,522,522
16,1101031,4,522,522
16,1100930,4,522,517
16,1100831,4,517,516
16,1100731,4,516,510
16,1100630,4,510,504
16,1100531,4,504,503
16,1100430,4,503,503
16,1100331,4,503,503
16,1100228,4,503,503
16,1100131,4,503,503
16,1091231,4,503,525
16,1091130,4,525,522
16,1091031,4,522,522
16,1090930,4,522,507
16,1090831,4,507,515
16,1090731,4,515,516
16,1090630,4,516,516
16,1090531,4,516,502
16,1090430,4,502,502
16,1090331,4,502,497
16,1090229,4,497,497
16,1090131,4,497,497
16,1081231,4,497,497
16,1081130,4,497,489
16,1081031,4,489,430
16,1080930,4,430,410
16,1080831,4,410,410
16,1080731,4,410,410
16,1080630,4,410,410
16,1080531,4,410,408
16,1080430,4,408,399
16,1080331,4,399,395
16,1080228,4,395,390
16,1080131,4,390,390
17,1120531,4,203,203
17,1120430,4,203,203
17,1120331,4,203,203
17,1120228,4,203,203
17,1120131,4,203,203
17,1111231,4,203,203
17,1111130,4,203,205
17,1111031,4,205,194
17,1110930,4,194,194
17,1110831,4,194,194
17,1110731,4,194,194
17,1110630,4,194,194
17,1110531,4,194,194
17,1110430,4,194,194
17,1110331,4,194,194
17,1110228,4,194,194
17,1110131,4,194,194
17,1101231,4,194,194
17,1101130,4,194,194
17,1101031,4,194,194
17,1100930,4,194,194
17,1100831,4,194,183
17,1100731,4,183,183
17,1100630,4,183,183
17,1100531,4,183,182
17,1100430,4,182,182
17,1100331,4,182,182
17,1100228,4,182,189
17,1100131,4,189,189
17,1091231,4,189,189
17,1091130,4,189,187
17,1091031,4,187,187
17,1090930,4,187,187
17,1090831,4,187,186
17,1090731,4,186,185
17,1090630,4,185,185
17,1090531,4,185,173
17,1090430,4,173,173
17,1090331,4,173,167
17,1090229,4,167,167
17,1090131,4,167,167
17,1081231,4,167,167
17,1081130,4,167,151
17,1081031,4,151,147
17,1080930,4,147,137
17,1080831,4,137,137
17,1080731,4,137,137
17,1080630,4,137,137
17,1080531,4,137,137
17,1080430,4,137,137
