縣市,基地臺
8,364
10,517
9,167
15,358
12,685
4,2106
1,1848
19,280
5,1286
20,74
17,424
18,425
21,47
13,505
16,690
11,487
3,1510
6,1933
7,225
22,21
14,445
2,2308
8,364
10,517
9,167
15,356
12,685
4,2106
1,1848
19,280
5,1281
20,74
17,421
18,395
21,48
13,476
16,680
11,479
3,1509
6,2051
7,224
22,18
14,445
2,2300
8,364
10,516
9,176
15,358
12,685
4,2094
1,1844
19,273
5,1347
20,78
17,421
18,387
21,48
13,476
16,680
11,456
3,1500
6,2051
7,222
22,18
14,486
2,2286
8,364
10,514
9,176
15,358
12,734
4,2026
1,1827
19,273
5,1347
20,78
17,421
18,387
21,48
13,475
16,676
11,456
3,1500
6,2049
7,222
22,18
14,486
2,2286
8,364
10,514
9,175
15,358
12,734
4,2026
1,1827
19,268
5,1338
20,76
17,421
18,387
21,48
13,467
16,679
11,475
3,1527
6,2101
7,225
22,18
14,445
2,2338
8,367
10,507
9,179
15,358
12,685
4,2105
1,1882
19,268
5,1369
20,76
17,410
18,385
21,47
13,467
16,668
11,475
3,1515
6,2087
7,225
22,17
14,445
2,2326
8,367
10,509
9,179
15,358
12,685
4,2108
1,1870
19,267
5,1358
20,70
17,409
18,386
21,47
13,467
16,668
11,475
3,1516
6,2087
7,225
22,17
14,445
2,2326
8,367
10,509
9,179
15,358
12,685
4,2108
1,1870
19,267
5,1358
20,70
17,409
18,386
21,47
13,467
16,665
11,475
3,1489
6,2035
7,222
22,17
14,445
2,2276
8,362
10,509
9,175
15,358
12,681
4,2072
1,1815
19,267
5,1327
20,70
17,409
18,386
21,46
13,464
16,657
11,470
3,1460
6,1991
7,222
22,17
14,445
2,2257
8,354
10,502
9,171
15,354
12,668
4,2058
1,1815
19,264
5,1315
20,70
17,409
18,386
21,46
13,464
16,657
11,470
3,1460
6,1992
7,222
22,17
14,445
2,2257
8,354
10,502
9,171
15,354
12,668
4,2058
1,1815
19,264
5,1315
20,70
17,391
18,376
21,46
13,464
16,656
11,470
3,1460
6,1936
7,221
22,17
14,436
2,2249
8,354
10,502
9,168
15,352
