縣市,統計期,業者名稱,基地臺
新竹縣,1110430,中華電信股份有限公司                                                            ,1011
嘉義市,1110430,中華電信股份有限公司                                                            ,337
嘉義縣,1110430,中華電信股份有限公司                                                            ,974
彰化縣,1110430,中華電信股份有限公司                                                            ,1835
臺中市,1110430,中華電信股份有限公司                                                            ,4817
臺北市,1110430,中華電信股份有限公司                                                            ,2913
臺東縣,1110430,中華電信股份有限公司                                                            ,642
臺南市,1110430,中華電信股份有限公司                                                            ,2094
澎湖縣,1110430,中華電信股份有限公司                                                            ,192
宜蘭縣,1110331,中華電信股份有限公司                                                            ,954
花蓮縣,1110331,中華電信股份有限公司                                                            ,935
金門縣,1110331,中華電信股份有限公司                                                            ,257
南投縣,1110331,中華電信股份有限公司                                                            ,1204
屏東縣,1110331,中華電信股份有限公司                                                            ,1072
苗栗縣,1110331,中華電信股份有限公司                                                            ,1319
桃園市,1110331,中華電信股份有限公司                                                            ,2058
高雄市,1110331,中華電信股份有限公司                                                            ,3055
基隆市,1110331,中華電信股份有限公司                                                            ,361
連江縣,1110331,中華電信股份有限公司                                                            ,93
雲林縣,1110331,中華電信股份有限公司                                                            ,1275
新北市,1110331,中華電信股份有限公司                                                            ,2897
新竹市,1110331,中華電信股份有限公司                                                            ,612
新竹縣,1110331,中華電信股份有限公司                                                            ,1011
嘉義市,1110331,中華電信股份有限公司                                                            ,337
嘉義縣,1110331,中華電信股份有限公司                                                            ,968
彰化縣,1110331,中華電信股份有限公司                                                            ,1827
臺中市,1110331,中華電信股份有限公司                                                            ,4812
臺北市,1110331,中華電信股份有限公司                                                            ,2932
臺東縣,1110331,中華電信股份有限公司                                                            ,637
臺南市,1110331,中華電信股份有限公司                                                            ,2083
澎湖縣,1110331,中華電信股份有限公司                                                            ,191
宜蘭縣,1110228,中華電信股份有限公司                                                            ,954
花蓮縣,1110228,中華電信股份有限公司                                                            ,935
金門縣,1110228,中華電信股份有限公司                                                            ,257
南投縣,1110228,中華電信股份有限公司                                                            ,1193
屏東縣,1110228,中華電信股份有限公司                                                            ,1067
苗栗縣,1110228,中華電信股份有限公司                                                            ,1304
桃園市,1110228,中華電信股份有限公司                                                            ,2058
高雄市,1110228,中華電信股份有限公司                                                            ,3037
基隆市,1110228,中華電信股份有限公司                                                            ,361
連江縣,1110228,中華電信股份有限公司                                                            ,93
雲林縣,1110228,中華電信股份有限公司                                                            ,1268
新北市,1110228,中華電信股份有限公司                                                            ,2897
新竹市,1110228,中華電信股份有限公司                                                            ,612
新竹縣,1110228,中華電信股份有限公司                                                            ,1011
嘉義市,1110228,中華電信股份有限公司                                                            ,337
嘉義縣,1110228,中華電信股份有限公司                                                            ,968
彰化縣,1110228,中華電信股份有限公司                                                            ,1813
臺中市,1110228,中華電信股份有限公司                                                            ,4797
臺北市,1110228,中華電信股份有限公司                                                            ,2932
臺東縣,1110228,中華電信股份有限公司                                                            ,636
臺南市,1110228,中華電信股份有限公司                                                            ,2082
澎湖縣,1110228,中華電信股份有限公司                                                            ,191
宜蘭縣,1110131,中華電信股份有限公司                                                            ,954
花蓮縣,1110131,中華電信股份有限公司                                                            ,935
金門縣,1110131,中華電信股份有限公司                                                            ,257
南投縣,1110131,中華電信股份有限公司                                                            ,1193
屏東縣,1110131,中華電信股份有限公司                                                            ,1067
苗栗縣,1110131,中華電信股份有限公司                                                            ,1304
桃園市,1110131,中華電信股份有限公司                                                            ,2058
高雄市,1110131,中華電信股份有限公司                                                            ,3024
基隆市,1110131,中華電信股份有限公司                                                            ,361
連江縣,1110131,中華電信股份有限公司                                                            ,93
雲林縣,1110131,中華電信股份有限公司                                                            ,1268
新北市,1110131,中華電信股份有限公司                                                            ,2897
新竹市,1110131,中華電信股份有限公司                                                            ,612
新竹縣,1110131,中華電信股份有限公司                                                            ,1011
嘉義市,1110131,中華電信股份有限公司                                                            ,337
嘉義縣,1110131,中華電信股份有限公司                                                            ,968
彰化縣,1110131,中華電信股份有限公司                                                            ,1811
臺中市,1110131,中華電信股份有限公司                                                            ,4797
臺北市,1110131,中華電信股份有限公司                                                            ,2932
臺東縣,1110131,中華電信股份有限公司                                                            ,636
臺南市,1110131,中華電信股份有限公司                                                            ,2082
澎湖縣,1110131,中華電信股份有限公司                                                            ,191
宜蘭縣,1101231,中華電信股份有限公司                                                            ,954
花蓮縣,1101231,中華電信股份有限公司                                                            ,935
金門縣,1101231,中華電信股份有限公司                                                            ,257
南投縣,1101231,中華電信股份有限公司                                                            ,1193
屏東縣,1101231,中華電信股份有限公司                                                            ,1067
苗栗縣,1101231,中華電信股份有限公司                                                            ,1305
桃園市,1101231,中華電信股份有限公司                                                            ,2057
高雄市,1101231,中華電信股份有限公司                                                            ,3021
基隆市,1101231,中華電信股份有限公司                                                            ,358
連江縣,1101231,中華電信股份有限公司                                                            ,92
雲林縣,1101231,中華電信股份有限公司                                                            ,1268
新北市,1101231,中華電信股份有限公司                                                            ,2896
新竹市,1101231,中華電信股份有限公司                                                            ,612
新竹縣,1101231,中華電信股份有限公司                                                            ,1011
嘉義市,1101231,中華電信股份有限公司                                                            ,338
嘉義縣,1101231,中華電信股份有限公司                                                            ,969
彰化縣,1101231,中華電信股份有限公司                                                            ,1812
臺中市,1101231,中華電信股份有限公司                                                            ,4800
臺北市,1101231,中華電信股份有限公司                                                            ,2888
